Pc: [0.0, 0.0, 0.0], Surprise: [0.37075077614396545, 0.6349448103597151, 0.12282199008153741], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.3806178053212363, 0.6408983743514503, 0.06593194462450881], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.39015969528359956, 0.6466406649785786, 0.04625101216998539], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.3993914245868129, 0.6521830864289369, 0.031176932685572447], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.40832722141767247, 0.6575362275182041, 0.01985324254339331], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.4169805832652991, 0.48405306999255265, 0.09632151151639935], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 9
Pc: [0.0, 0.0, 0.0], Surprise: [0.2893231461438771, 0.323058130219114, 0.1075493145294744], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.36786972187802935, 0.5861831496963663, 0.02713289563921172], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.3764297917872026, 0.5920940198610237, 0.017364102247400707], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.3847461089436591, 0.5978208097977271, 0.08476432219718846], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
Pc: [0.0, 0.0, 0.0], Surprise: [0.31079801488263453, 0.6033722272216212, 0.09498000494404617], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 3
Pc: [0.0, 0.0, 0.0], Surprise: [0.34180873418678154, 0.6087564363707444, 0.023828878172602323], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 6
Pc: [0.0, 0.0, 0.0], Surprise: [0.34997757835164583, 0.6139810994301066, 0.015315842923919276], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 5
Pc: [0.0, 0.0, 0.0], Surprise: [0.3309841649434423, 0.34997757835164583, 0.07518129502697006], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.25040474274052005, 0.24212153746160464, 0.08450702551773104], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.31195237646592044, 0.5549351429491614, 0.021094476145874595], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.3199229542717201, 0.5605030130784866, 0.0136100742427369], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 9
Pc: [0.0, 0.0, 0.0], Surprise: [0.32770518292436207, 0.5659188799956654, 0.06714460970266233], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.3353046946506582, 0.5711890352698828, 0.018805721011968073], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.269073622409399, 0.26646207089133345, 0.05261581045849517], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.3012996473436657, 0.5201679763838716, 0.06033697125093121], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.1585353637918243, 0.1815966700780291, 0.7136030428840439], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.28685325136150785, 0.2893231461438771, 0.06818449575854395], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.2707260581550588, 0.5256545624377603, 0.024503625134347], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.2780719051126378, 0.5310044064107188, 0.05451886306431474], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
