Pc: [0.0, 0.0, 0.0], Surprise: [0.0, 0.0, 0.0], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 2
Pc: [0.0, 0.0, 0.0], Surprise: [0.41576118835714415, 0.3199229542717201, 0.6340763490997771], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.39015969528359956, 0.5605030130784866, 0.5635301829358969], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.5605030130784866, 0.5861831496963663, 0.2966306613331891], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
Pc: [0.0, 0.0, 0.0], Surprise: [0.5861831496963663, 0.6087564363707444, 0.3360942411436084], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 7
Pc: [0.0, 0.0, 0.0], Surprise: [0.2431663675815964, 0.35706164995903844, 0.6582860933323835], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.4253643021623207, 0.6287676733591245, 0.20219908036465603], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.6087564363707444, 0.6466406649785786, 0.33098416494344274], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.6287676733591245, 0.662709933382986, 0.11870910076930738], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.6772430411026018, 0.14650302800902604], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 4
Pc: [0.0, 0.0, 0.0], Surprise: [0.43349049344709467, 0.6904565708496748, 0.36202262757953746], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.7025277510807105, 0.08851559030129565], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 19
Pc: [0.0, 0.0, 0.0], Surprise: [0.47744062546305926, 0.7136030428840439, 0.11120280215330614], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 12
Pc: [0.0, 0.0, 0.0], Surprise: [0.4967416652243543, 0.7238045723520609, 0.3901596952835996], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.5145392392540867, 0.7332350121969741, 0.06858612902235948], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 14
Pc: [0.0, 0.0, 0.0], Surprise: [0.5310044064107188, 0.7419813313351845, 0.08736019046240613], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.5462836608130552, 0.7501177071668147, 0.10621993437302392], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 18
Pc: [0.0, 0.0, 0.0], Surprise: [0.5605030130784866, 0.7577078109175852, 0.41576118835714415], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 20
Pc: [0.0, 0.0, 0.0], Surprise: [0.573771343001855, 0.7648066181807586, 0.2907494149350934], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.5861831496963663, 0.7714618560464719, 0.2030087587972465], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.5978208097977271, 0.7777151693143121, 0.07047681382077363], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 16
Pc: [0.0, 0.0, 0.0], Surprise: [0.6087564363707444, 0.7836030675487354, 0.22588268865870856], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 16
Pc: [0.0, 0.0, 0.0], Surprise: [0.6190534142946099, 0.789157699681468, 0.04469301713100648], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 15
Pc: [0.0, 0.0, 0.0], Surprise: [0.48405306999255265, 0.794407491814917, 0.05807401281270868], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 14
Pc: [0.0, 0.0, 0.0], Surprise: [0.5087626581756669, 0.7993776756872855, 0.2475956639753864], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 9
Pc: [0.0, 0.0, 0.0], Surprise: [0.5087626581756669, 0.39015969528359956, 0.037192627508839164], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 10
Pc: [0.0, 0.0, 0.0], Surprise: [0.42120537536788005, 0.6701539297928537, 0.048690200200216124], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.43349049344709467, 0.6772430411026018, 0.060687286267763915], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 11
Pc: [0.0, 0.0, 0.0], Surprise: [0.44522183665872644, 0.6840028670215754, 0.268183920623045], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
Pc: [0.0, 0.0, 0.0], Surprise: [0.45643555680040354, 0.6904565708496748, 0.20024058867082387], Adaptaton rate: [0.0, 0.0, 0.0], Value size: 13
