Timestep: 0 State: 5 Beliefs: [0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]
Timestep: 1 State: 2 Beliefs: [0.053497942386831275, 0.09465020576131689, 0.0668724279835391, 0.1183127572016461, 0.10699588477366255, 0.18930041152263377, 0.1337448559670782, 0.2366255144032922]
Timestep: 2 State: 2 Beliefs: [0.11291062060536769, 0.059139702414013506, 0.30436775989273024, 0.159420067376906, 0.06466699180125603, 0.03387092047348046, 0.17431971702947274, 0.09130422040677341]
Timestep: 3 State: 4 Beliefs: [0.09826846233535581, 0.0396625721474027, 0.39307384934142375, 0.1586502885896108, 0.04422080805091017, 0.017848157466331217, 0.1768832322036407, 0.07139262986532487]
Timestep: 4 State: 0 Beliefs: [0.13600381727870225, 0.09088510982197623, 0.16727212678026557, 0.1117802861476053, 0.13280959352308713, 0.08875055667020591, 0.1633435267475262, 0.1091549830306313]
Timestep: 5 State: 0 Beliefs: [0.23296264104774697, 0.06399259779373595, 0.2215483811169718, 0.060857210327410184, 0.16914020897198928, 0.046461189291181565, 0.16085299905168174, 0.044184772399282556]
Timestep: 6 State: 2 Beliefs: [0.24102752636931454, 0.10924377671730383, 0.18618697037787504, 0.084387738305318, 0.14719680269133403, 0.06671576018281838, 0.11370538110413284, 0.051536044251903466]
Timestep: 7 State: 2 Beliefs: [0.21253713201397684, 0.04404369251617737, 0.3836209666879022, 0.07949709182322817, 0.08277683473256452, 0.017153696494708267, 0.14940885415440183, 0.03096173157704093]
Timestep: 8 State: 2 Beliefs: [0.18678254194457888, 0.029583323554195212, 0.455992402146788, 0.0722217966974972, 0.06407368009163232, 0.010148231144756461, 0.15642313781144157, 0.024774886609110362]
Timestep: 9 State: 2 Beliefs: [0.16249607034424973, 0.02232086203310965, 0.5136622554724127, 0.07055791756518234, 0.0488020181355911, 0.006703565885834302, 0.1542668364473491, 0.021190474116270966]
Timestep: 10 State: 4 Beliefs: [0.1426778994510987, 0.017510284997378077, 0.5600402947093017, 0.06873149386206474, 0.03816511455502528, 0.004683851075653951, 0.14980597615495678, 0.018385085194520777]
Timestep: 11 State: 2 Beliefs: [0.22811467953012748, 0.055527247886066514, 0.31077212890451994, 0.075647569342344, 0.1123236783662781, 0.02734161933360101, 0.15302421012175407, 0.03724886651530883]
Timestep: 12 State: 4 Beliefs: [0.1925340902280474, 0.024473282198648385, 0.4742108148192994, 0.060277611507539026, 0.06366706292196804, 0.008092810970789033, 0.15681176122949217, 0.01993256612421656]
Timestep: 13 State: 2 Beliefs: [0.26865127705841946, 0.02665621312710303, 0.30778431261363975, 0.03053908518150842, 0.15533575096445504, 0.015412779456345962, 0.17796270264712657, 0.01765787895140177]
Timestep: 14 State: 2 Beliefs: [0.2029532863686063, 0.01795658954588912, 0.46582625028094987, 0.041214660406156955, 0.07584754756699866, 0.006710722965329476, 0.17408823137739657, 0.01540271148867306]
Timestep: 15 State: 2 Beliefs: [0.18988536800126593, 0.01563718786744046, 0.4859895281393161, 0.040021564763602864, 0.06968624339366733, 0.0057387090495339965, 0.1783538400097481, 0.014687558775425269]
Timestep: 16 State: 2 Beliefs: [0.1711313510170741, 0.013401924154211868, 0.5236093490589873, 0.041005769783379185, 0.05730316527444106, 0.004487621176599629, 0.17533007768620987, 0.01373074184909706]
Timestep: 17 State: 2 Beliefs: [0.1550916235820666, 0.011760921931093906, 0.5538049437985649, 0.04199618624549562, 0.04826624192451648, 0.0036601299932949344, 0.17235027127194, 0.01306968125302756]
Timestep: 18 State: 2 Beliefs: [0.14125694874686712, 0.010194699809713643, 0.5817494965576714, 0.041985626437998746, 0.04096616693403015, 0.0029565821572109883, 0.16871415672779863, 0.012176322628709142]
Timestep: 19 State: 0 Beliefs: [0.1297723091734495, 0.008904247236195456, 0.6061313363715521, 0.04158932911831134, 0.03524901282459891, 0.002418589351003608, 0.16463859959982388, 0.011296576325065122]
Timestep: 20 State: 2 Beliefs: [0.23746843478663418, 0.01579279305502945, 0.4620359027766319, 0.030727609768857394, 0.08084330734593753, 0.005376468767083457, 0.15729463381771253, 0.010460849682113573]
Timestep: 21 State: 0 Beliefs: [0.17097133619761146, 0.01113264472623883, 0.5879785531282298, 0.038285694457337774, 0.04053046479829387, 0.0026391047483375674, 0.13938619525188228, 0.0090760066920682]
Timestep: 22 State: 2 Beliefs: [0.2773299611843508, 0.03785616341326574, 0.43921914181238175, 0.05995440065572728, 0.0632197644468523, 0.008629640027452092, 0.10012380403237246, 0.013667124427597427]
Timestep: 23 State: 2 Beliefs: [0.1954845198943109, 0.015140405819907792, 0.5675595777555059, 0.043957866018443495, 0.042290015452908246, 0.003275389767094476, 0.12278262916523108, 0.009509596126598189]
Timestep: 24 State: 4 Beliefs: [0.1897345300593603, 0.011797758209713786, 0.5911511265021293, 0.03675797997175362, 0.03901524209079722, 0.002425981146060587, 0.12155881328249686, 0.0075585687376882]
Timestep: 25 State: 0 Beliefs: [0.2733540245889791, 0.015725274078847405, 0.4342679183447513, 0.024982189488118728, 0.09193166673140421, 0.0052885654712796, 0.14604860346007115, 0.008401757836548477]
Timestep: 26 State: 2 Beliefs: [0.3030556630021014, 0.03683236170800337, 0.3749646972162888, 0.04557194285297531, 0.09547909926791336, 0.011604207243491631, 0.11813437568803611, 0.014357653021190148]
Timestep: 27 State: 2 Beliefs: [0.3081665335476884, 0.021120602900803347, 0.45491696440958496, 0.031178338697335828, 0.06977456328990879, 0.0047820924188547035, 0.10300155620220128, 0.00705934853362272]
