Timestep: 0, Trans probs: [0.6779664000000001, 0.058953599999999974, 0.16843360000000002, 0.014646399999999995, 0.058953599999999974, 0.005126399999999995, 0.014646399999999995, 0.0012735999999999989]
Timestep: 1, Trans probs: [0.6330324, 0.0863226, 0.11496759999999996, 0.015677399999999994, 0.11171160000000002, 0.015233400000000003, 0.020288399999999995, 0.0027665999999999993]
Timestep: 2, Trans probs: [0.6779664000000001, 0.058953599999999974, 0.16843360000000002, 0.014646399999999995, 0.058953599999999974, 0.005126399999999995, 0.014646399999999995, 0.0012735999999999989]
Timestep: 3, Trans probs: [0.6260760000000001, 0.085374, 0.12192399999999998, 0.016626, 0.11048400000000003, 0.015066000000000003, 0.021516, 0.002934]
Timestep: 4, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 5, Trans probs: [0.67043344, 0.05829855999999997, 0.17596656, 0.015301439999999993, 0.05829855999999997, 0.0050694399999999945, 0.015301439999999993, 0.0013305599999999986]
Timestep: 6, Trans probs: [0.6633900000000001, 0.07371, 0.14661, 0.016289999999999995, 0.07370999999999998, 0.008189999999999998, 0.016289999999999995, 0.0018099999999999991]
Timestep: 7, Trans probs: [0.656019, 0.07289099999999998, 0.153981, 0.017108999999999996, 0.072891, 0.008098999999999997, 0.017108999999999996, 0.001900999999999999]
Timestep: 8, Trans probs: [0.6854993600000001, 0.05960863999999998, 0.16090064, 0.013991359999999993, 0.05960863999999998, 0.005183359999999995, 0.013991359999999994, 0.0012166399999999989]
Timestep: 9, Trans probs: [0.6260760000000001, 0.085374, 0.12192399999999998, 0.016626, 0.11048400000000003, 0.015066000000000003, 0.021516, 0.002934]
Timestep: 10, Trans probs: [0.648648, 0.07207199999999998, 0.161352, 0.017927999999999996, 0.07207199999999998, 0.008007999999999996, 0.017927999999999996, 0.001991999999999999]
Timestep: 11, Trans probs: [0.67043344, 0.05829855999999997, 0.17596656, 0.015301439999999993, 0.05829855999999997, 0.0050694399999999945, 0.015301439999999993, 0.0013305599999999986]
Timestep: 12, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 13, Trans probs: [0.6191196000000001, 0.08442540000000001, 0.12888039999999995, 0.017574599999999992, 0.10925640000000003, 0.014898600000000003, 0.022743599999999996, 0.0031013999999999994]
Timestep: 14, Trans probs: [0.6260760000000001, 0.085374, 0.12192399999999998, 0.016626, 0.11048400000000003, 0.015066000000000003, 0.021516, 0.002934]
Timestep: 15, Trans probs: [0.6330324, 0.0863226, 0.11496759999999996, 0.015677399999999994, 0.11171160000000002, 0.015233400000000003, 0.020288399999999995, 0.0027665999999999993]
Timestep: 16, Trans probs: [0.67043344, 0.05829855999999997, 0.17596656, 0.015301439999999993, 0.05829855999999997, 0.0050694399999999945, 0.015301439999999993, 0.0013305599999999986]
Timestep: 17, Trans probs: [0.656019, 0.07289099999999998, 0.153981, 0.017108999999999996, 0.072891, 0.008098999999999997, 0.017108999999999996, 0.001900999999999999]
Timestep: 18, Trans probs: [0.6779664000000001, 0.058953599999999974, 0.16843360000000002, 0.014646399999999995, 0.058953599999999974, 0.005126399999999995, 0.014646399999999995, 0.0012735999999999989]
Timestep: 19, Trans probs: [0.67043344, 0.05829855999999997, 0.17596656, 0.015301439999999993, 0.05829855999999997, 0.0050694399999999945, 0.015301439999999993, 0.0013305599999999986]
Timestep: 20, Trans probs: [0.6779664000000001, 0.058953599999999974, 0.16843360000000002, 0.014646399999999995, 0.058953599999999974, 0.005126399999999995, 0.014646399999999995, 0.0012735999999999989]
Timestep: 21, Trans probs: [0.6707610000000002, 0.074529, 0.139239, 0.015470999999999995, 0.07452899999999998, 0.008280999999999997, 0.015470999999999995, 0.001718999999999999]
Timestep: 22, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 23, Trans probs: [0.6854993600000001, 0.05960863999999998, 0.16090064, 0.013991359999999993, 0.05960863999999998, 0.005183359999999995, 0.013991359999999994, 0.0012166399999999989]
Timestep: 24, Trans probs: [0.6854993600000001, 0.05960863999999998, 0.16090064, 0.013991359999999993, 0.05960863999999998, 0.005183359999999995, 0.013991359999999994, 0.0012166399999999989]
Timestep: 25, Trans probs: [0.6121632, 0.0834768, 0.13583679999999998, 0.018523199999999997, 0.10802880000000002, 0.014731200000000002, 0.023971199999999998, 0.0032687999999999997]
Timestep: 26, Trans probs: [0.648648, 0.07207199999999998, 0.161352, 0.017927999999999996, 0.07207199999999998, 0.008007999999999996, 0.017927999999999996, 0.001991999999999999]
Timestep: 27, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 28, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 29, Trans probs: [0.6629004800000001, 0.057643519999999976, 0.18349952, 0.01595647999999999, 0.05764351999999998, 0.005012479999999995, 0.01595647999999999, 0.0013875199999999986]
Timestep: 30, Trans probs: [0.6260760000000001, 0.085374, 0.12192399999999998, 0.016626, 0.11048400000000003, 0.015066000000000003, 0.021516, 0.002934]
